,Phrase,Score
1294,осуждение,-1
1295,осуществимый,1
1296,осуществление ,1
1297,осуществлять,1
1298,отвергать,-1
1299,ответный,0
1300,ответственность,1
1301,отвечать,0
1302,отвлекать,-1
1303,отвращение,-2
1304,отговаривать,-1
1305,отдача,0
1306,отдельный вид отношений,0
1307,отзыв,0
1308,отказ,-1
1309,отказ в подтверждении,-1
1310,отказ от права,-1
1311,отказывать,-1
1312,откладывать,-1
1313,отклонение,-1
1314,открывать,1
1315,открываться со снижением индекса,-1
1316,открытие,1
1317,открытие торгов,0
1318,открыто,1
1319,отличительный,1
1320,отлично,1
1321,отмена,-1
1322,отменять,-1
1323,отмечать,1
1324,отмывание,-2
1325,отношение,0
1326,отозвать,-2
1327,отрасль,0
1328,отрекаться,-1
1329,отрицание,-1
1330,отрицательный,-1
1331,отрицать,-1
1332,отсрочка,-1
1333,отставать,-1
1334,отставка,-2
1335,отсутствие,-1
1336,отсутствие достижений,-1
1337,отсутствие на работе,-1
1338,отток,-1
1339,отходы,-1
1340,отчуждение,-1
1341,отчуждение акций,-1
1342,отчёт,0
1343,отчёт о прибылях и убытках,0
1344,отчёт о финансовом положении,0
1345,отчёт об устойчивом развитии,1
1346,отчёт совета директоров,0
1347,отчётность,0
1348,отчётный,0
1349,отягощение,-1
1350,офз,0
1351,офис ,0
1352,охотный,1
1353,охрана водных ресурсов,1
1354,охрана воздушных ресурсов,1
1355,охрана окружающей среды,1
1356,охрана труда,0
1357,охрана труда в промышленностии,1
1358,охраняемая природная территория,1
1359,оценивание,0
1360,оценивать,0
1361,оценивать справедливую стоимость,0
1362,оценка,0
1363,оценка проекта,0
1364,оценка эффективности,0
1365,оцифровка,0
1366,очистка,1
1367,очистка сточных вод,1
1368,очистка территории,1
1369,очистное сооружение,1
1370,ошеломляющий,2
1371,ошибаться,-1
1372,ошибка,-1
1373,ошибочно,-1
1374,ошибочное толкование,-1
1375,ошибочный,-1
1376,оштрафованный,-1
1377,пагубный,-2
1378,падение,-2
1379,падение мировой экономики,-2
1380,падение цены нефти,-1
1381,паевой,0
1382,паевой взнос,0
1383,паевой фонд,0
1384,пакет акции,0
1385,пакт,0
1386,паника,-2
1387,парниковый газ,-2
1388,партнерство,1
1389,партнёрство,1
1390,пассажир,0
1391,пассив,0
1392,патент,1
1393,патентоспособность,1
1394,патентоспособный,1
1395,пенсионный,0
1396,первая минута торгов,0
1397,первичная акция,0
1398,первичный взнос по кредиту,0
1399,первичный рынок,0
1400,переадресовывать,0
1401,перевод,0
1402,перевод на карту,0
1403,перевод с карты,0
1404,переворот,-2
1405,перегружать,-1
1406,перегрузка,-1
1407,передавать,0
1408,передача,0
1409,передача электроэнергии,0
1410,перезарядка,0
1411,перемещать,0
1412,перемещение,0
1413,переназначение,0
1414,переназначить,0
1415,переоценка,0
1416,переплата,-1
1417,перепродажа,0
1418,перепроизведенная,0
1419,перепроизводство,0
1420,переработка,1
1421,переработка отходов,1
1422,перерасход,-1
1423,перерыв,0
1424,перерыв в работе,-1
1425,пересматривать,0
1426,пересмотр,0
1427,перестать,-1
1428,перехитрить,-1
1429,период засухи,-1
1430,персонал,0
1431,перспектива развития,1
1432,петиция,0
1433,пикет,-1
1434,плавающая процентная ставка,0
1435,план,0
1436,план мероприятия,0
1437,плата,0
1438,платёж,0
1439,платёж по кредиту,0
1440,платёжеспособность,1
1441,платёжеспособный,1
1442,платёжная система,0
1443,платёжный ,0
1444,платёжный баланс,0
1445,плохо,-1
1446,плохое управление,-1
1447,плохой,-1
1448,победитель,2
1449,победитель конкурса,2
1450,побеждать,2
1451,побеждённый,-1
1452,повреждение,-1
1453,повсеместно,0
1454,повышать,1
1455,повышать надёжность,1
1456,повышать надёжность работы,1
1457,повышение,1
1458,повышение благосостояния,1
1459,повышение занятости,1
1460,повышение качества,1
1461,повышение квалификации,1
1462,повышение производительности,1
1463,повышение производительности труда,1
1464,повышение энергитической эффективности,1
1465,повышение энергоэффективности,1
1466,повышение эффективности,1
1467,погашение,0
1468,погашение долга,0
1469,погашение кредита,0
1470,погашенная задолженность,1
1471,под угрозой,-1
1472,подавленный,-2
1473,подать в отставку,-1
1474,подвешенный,-1
1475,подводить итог,0
1476,подводить итог работы,0
1477,подделанный,-1
1478,подделка,-1
1479,поддерживающая отрасль,0
1480,поддержка,1
1481,поддержка занятости,1
1482,поддержка индивидуального предпринимательства,1
1483,поддержка среднего предпринимательства,1
1484,поддержка труда,1
1485,подкупленный,-1
1486,подобающе,1
1487,подозреваемый,-1
1488,подозревать,-1
1489,подозрение,-1
1490,подозрительно,-1
1491,подорванный,-1
1492,подписывать соглашение,0
1493,подразумевать,0
1494,подрывать,-1
1495,подсказывать,1
1496,подстрекательство,-2
1497,подсудимый,-1
1498,подтверждённый,1
1499,подходящий,1
1500,подчеркивать,0
1501,подчинение,-1
1502,позволять ,1
1503,поздний,-1
1504,поздравлять,1
1505,позитивный,1
1506,показатель,0
1507,показатель ebitda,0
1508,показатель уровня развития,1
1509,показатель эффективности,0
1510,покрытый,1
1511,покупатель,0
1512,покупка,1
1513,покушаться,-2
1514,полезное действие,1
1515,полезное ископаемое,0
1516,полезное использование,1
1517,полезность,0
1518,политика,0
1519,полномочие,0
1520,полнота,1
1521,полноценный,1
1522,положительно,1
1523,положительный,1
1524,полуфабрикат,0
1525,получатель опциона,0
1526,получать,0
1527,получение,0
1528,польза,1
1529,пользователь,0
1530,помеха,-1
1531,помогать,1
1532,помощь,1
1533,понижать,-1
1534,понижение,-1
1535,понимание,1
1536,понятный,1
1537,пополнение,1
1538,пополнение оборотных средств,1
1539,популизм,-2
1540,популяризация предпринимательства,1
1541,популярность,2
1542,популярный,1
1543,поражение,-1
1544,порвать,-1
1545,порицание,-1
1546,порочить,-2
1547,портить,-1
1548,портфель,0
1549,портфель ценных бумаг,0
1550,поручитель,0
1551,поручитель по кредиту,0
1552,поручительство,0
1553,поручительство по кредиту,0
1554,последовательно,1
1555,последствие,0
1556,посредничество,0
1557,поставка,0
1558,поставка газа,0
1559,поставка продукции,0
1560,поставка российского газа,1
1561,поставщик,0
1562,постановление,0
1563,постановление правительства,0
1564,постоянно,0
1565,постоянный,1
1566,пострадавшие,-2
1567,пострадавший,-2
1568,пострадать,-2
1569,посягать,-1
1570,потенциал,1
1571,потерпеть неудачу,-1
1572,потеря,-1
1573,потеря права выкупа,-1
1574,потерять,-1
1575,поток,0
1576,потраченный впустую,-1
1577,потребитель,0
1578,потребительская стоимость,0
1579,потребительский,0
1580,потребительтсво,0
1581,потрясение,-2
1582,поучительный,0
1583,почести,1
1584,почтительное отношение,1
1585,почёт,1
1586,пошлина,-1
1587,права человека,1
1588,правда,1
1589,правдиво,1
1590,правдивость,1
1591,правильная маркировка,1
1592,правильно,1
1593,правильный,1
1594,правительственная комиссия,0
1595,правительственное соглашение,0
1596,правительство,0
1597,правка,0
1598,правление,0
1599,право,1
1600,право добычи,0
1601,право сторон,0
1602,правовой акт,0
1603,правомерно,1
1604,правомочность,1
1605,правонарушение,-2
1606,правонарушитель,-2
1607,правоспособность,1
1608,праздник,1
1609,праздный,-1
1610,практичность,1
1611,практичный,1
1612,превосходить,1
1613,превышать,-1
1614,превышение,1
1615,превышение полномочий,-1
1616,предвзятый,-1
1617,предвиденный,1
1618,предел,-1
1619,предложение,1
1620,предложение денег ,0
1621,предмет роскоши,0
1622,преднамеренно,-1
1623,преднамеренный,-1
1624,предоставление субсидии,1
1625,предоставление услуг,0
1626,предоставлять,0
1627,предостерегать,1
1628,предосудительно,-1
1629,предотвращать,1
1630,предотвращение,1
1631,предписывать,0
1632,предполагать,0
1633,предположительно,0
1634,предприимчисвость,1
1635,предприниматель,0
1636,предпринимательская деятельность,0
1637,предпринимательская инициатива,1
1638,предпринимательский,0
1639,предпринимательское сообщество,1
1640,предпринимательство,1
1641,предприятие,0
1642,предрешенный,-1
1643,председатель,0
1644,председатель правительства,0
1645,председатель правления,0
1646,председатель совета директоров,0
1647,предсказуемо,1
1648,предсказуемость,1
1649,предсказуемый,1
1650,представитель,0
1651,предстоять,0
1652,предубеждение,-1
1653,предупреждать,0
1654,предупреждение,0
1655,предусматривать ,1
1656,предшествовать,0
1657,предъявление обвинения,-1
1658,предъявлять иск,-1
1659,предъявлять обвинение,-1
1660,преждевременно,-1
1661,преждевременный,-1
1662,президент,0
1663,презрение,-2
1664,преимущество ,1
1665,прекращать,-1
1666,прекращение,-1
1667,прекращение дела,-1
1668,прекращение полномочия,-1
1669,премия,1
1670,пренебрегать,-1
1671,пренебрежение,-1
1672,пренебрежительно,-1
1673,преодоление,1
1674,преодолеть,1
1675,препятствие,-1
1676,препятствовать,-1
1677,прерывание,-1
1678,прерывать,-1
1679,преследовать,-1
1680,преследовать в судебном порядке,-2
1681,пресс конференция,0
1682,престиж,1
1683,преступление,-2
1684,преступление против государства,-2
1685,преступник,-2
1686,преступно,-2
1687,преступность,-2
1688,преступный ,-2
1689,претендовать,0
1690,претензия,-1
1691,преувеличение,-1
1692,преувеличивать,-1
1693,преуспевать,2
1694,прибыль ,1
1695,прибыльный,1
1696,приватизация,1
1697,приветствовать,1
1698,привилегированная акция,0
1699,привлекательный,1
1700,привлекать ,1
1701,привлечение ,1
1702,привлечение независимого оценщика,0
1703,приглашать,1
1704,пригодность,1
1705,пригодный,1
1706,приемлемо,1
1707,приемлемый,1
1708,признавать,1
1709,признание,1
1710,признать виновным,-2
1711,приличие,1
1712,приличный,1
1713,приложение к годовому отчёту,0
1714,примирение,1
1715,примиримо,1
1716,примиримый,1
1717,принимать решение,0
1718,принимать участие,1
1719,приносить пользу,1
1720,принуждать,-1
1721,принуждение,-1
1722,принцип,1
1723,принцип корпоративного управления,0
1724,принятие решения,0
1725,приобретение,1
1726,приобретение акций,1
1727,приобретение продукции,0
1728,приоритетное направление,1
1729,приоритетное направление деятельности,1
1730,приостанавливать,-1
1731,приостановлено,-1
1732,природные ресурсы,0
1733,природный,0
1734,природный газ,0
1735,природоохранная деятельность,1
1736,природоохранное законодательство,1
1737,природоохранное мероприятие,1
1738,прирост ,1
1739,присваивать,0
1740,пристойность,1
1741,пристойный,1
1742,приступный,1
1743,приток,1
1744,приятно,1
1745,приятный,1
1746,проблема,-1
1747,провал,-1
1748,провалиться,-1
1749,проверка,-1
1750,проводить,0
1751,проводить проверку,-2
1752,провоцировать,-1
1753,прогнозная цена,0
1754,программа,0
1755,программа долгосрочной мотивации,1
1756,программа ипотечного кредитования,0
1757,программа лояльности,1
1758,программа льготного кредитования,1
1759,программа повышения эффективности,1
1760,программа развития,1
1761,программа реализации,0
1762,программирование,0
1763,программное обеспечение,0
1764,прогресс,2
1765,продавать,0
1766,продавец,0
1767,продажа,0
1768,продажа продукции,0
1769,продажный,-2
1770,продвижение,1
1771,продлевать,0
1772,продление,0
1773,продолжительный,0
1774,продукт,0
1775,продуктивно,1
1776,продуктивность,1
1777,продуктивный,1
1778,продуктовая розница,0
1779,продуктовый ритейл,0
1780,продукция,0
1781,проект,0
1782,проект популяризация предпринимательства,1
1783,проект строительства,0
1784,прозрачность,1
1785,производитель,0
1786,производительность,0
1787,производительность труда,0
1788,производный финансовый инструмент,0
1789,производственная деятельность,0
1790,производственная мощность,0
1791,производственно-инвестиционный,0
1792,производственный объект,0
1793,производство ,0
1794,производство продукции,0
1795,промышленная безопасность,0
1796,промышленное производство,0
1797,промышленное развитие,0
1798,промышленность,0
1799,промышленный,0
1800,пропорционально,0
1801,пропорциональный,0
1802,пропуск,0
1803,прорыв,2
1804,просрочивать ,-2
1805,просрочивать кредит,-1
1806,просрочивать платёж,-1
1807,просрочка,-2
1808,простой,-1
1809,просчёт,-1
1810,просьба,0
1811,протекционизм,-1
1812,протест,-2
1813,протест населения,-2
1814,против,-1
1815,против государственной власти,-2
1816,противник,-1
1817,противодействие ,-1
1818,противозаконное действие,-2
1819,противозаконный,-2
1820,противоположность,0
1821,противопоставлять,-1
1822,противоречие,-1
1823,противоречить,-1
1824,противостоять,-1
1825,протокол собрания акционеров,0
1826,профессиональный инвестор,0
1827,профилактика,0
1828,профицит бюджета,1
1829,процветать,2
1830,процент,0
1831,процент голосующих акций,0
1832,процентная ставка,0
1833,процентный ,0
1834,процентный доход,0
1835,процесс,0
1836,процесс внедрения,0
1837,прочая дебиторская задолженность,0
1838,прочий доход,0
1839,прочий совокупный доход,0
1840,прошедший,0
1841,прямая трансляция,1
1842,пункт,0
1843,путаница,-1
1844,пфи ,0
1845,работать,0
1846,работать в штатном режиме,0
1847,работник,0
1848,рабочая группа,0
1849,рабочее место,0
1850,равенство,1
1851,равноправие,2
1852,радивый,1
1853,радикальный,-1
1854,разборчивый,1
1855,разведка и добыча,0
1856,развиваться,1
1857,развитие,1
1858,развитие государственной сферы,1
1859,развитие инфраструктуры,1
1860,развитие регионов,1
1861,развитие территорий,1
1862,развитие туризма,1
1863,развитие экономики,1
1864,разглашать,0
1865,разглашение,0
1866,разделение,0
1867,разделение труда,0
1868,раздор,-1
1869,раздражать,-1
1870,раздражитель,-1
1871,размер вознаграждения,1
1872,размер дивидендов,1
1873,размер ндс,0
1874,размещать ,0
1875,размывание,-1
1876,разногласие,-1
1877,разоблачать,1
1878,разорение,-2
1879,разочарование,-1
1880,разочаровывать,-1
1881,разрабатывать,1
1882,разработка,1
1883,разработка месторождения,1
1884,разработка проекта,1
1885,разработка товара,1
1886,разрешать,1
1887,разрешение,1
1888,разрешение споров,1
1889,разрешимый,1
1890,разрешённый,1
1891,разрушающий,-2
1892,разрушение,-2
1893,разрушительный,-2
1894,разрыв,-1
1895,разумность,1
1896,ранить,-1
1897,раскритиковывать,-1
1898,раскрывать,0
1899,раскрытие,1
1900,раскрытый,1
1901,располагать,1
1902,распоряжение,0
1903,распределение субсидий,1
1904,распродажа,0
1905,распространенность,0
1906,расследование,-1
1907,рассмотрение,0
1908,расстраивать,-1
1909,расти,1
1910,расторжение,-2
1911,расточительный,-1
1912,растрата,-1
1913,расход,0
1914,расхождение,-1
1915,расчёт,0
1916,расчёт вариационной маржи,0
1917,расчётный ,0
1918,расчётный период,0
1919,расширение,1
1920,рационализация,1
1921,рационализировать,1
1922,реабилитировать,1
1923,реализация ,1
1924,реализация инвестиционного проекта,1
1925,реализация мероприятия,1
1926,реализация национального проекта,1
1927,реализация проекта,1
1928,реализация творческого потенциала,1
1929,реалистичный,1
1930,реальное богатство,0
1931,ревизионная комиссия,0
1932,революционизировать,1
1933,регион,0
1934,региональный,0
1935,региональный бюджет,0
1936,регистрация ,0
1937,регулирование,0
1938,регулирование внешнеэкономической деятельности,0
1939,регулировать,0
1940,регулятор,0
1941,регуляторный,0
1942,регуляторный механизм,0
1943,редактирование,0
1944,редактировать,0
1945,резерв ,0
1946,резидент ,0
1947,резко,0
1948,резонанс,-1
1949,результат заседания совета,0
1950,рейтинг ,0
1951,рейтинговый ,0
1952,реклама,0
1953,рекомендация совета директоров,0
1954,рекомендовать,0
1955,рекордный,2
1956,рекордный рост,2
1957,рекультивация земель,1
1958,рентабельная отрасль,1
1959,рентабельность,1
1960,рентабельный,1
1961,репо ,0
1962,республика,0
1963,реструктуризация,1
1964,реструктурировать,1
1965,ресурс,0
1966,ресурсы страны,0
1967,рефинансирование,0
1968,рефинансирование кредита,0
1969,рефинансировать,0
1970,рефинансировать кредит,0
1971,реформа,0
1972,рецессия,-2
1973,речь,0
1974,решать,1
1975,решение,0
1976,решение об одобрении сделки,1
1977,решение совета директоров,0
1978,решительный,1
1979,риск,-1
1980,рискованность,-1
1981,рисковать,-1
1982,ритейл,0
1983,ритейлер,0
1984,родственная отрасль,0
1985,розничная торговля,0
1986,розничный,0
1987,розничный торговец,0
1988,розыгрыш,1
1989,роспуск,-1
1990,рост ,1
1991,рост ввп,1
1992,рост кредитоспособности,1
1993,рост кредитоспособности предприятия,1
1994,рост кредитоспособности фирмы,1
1995,рост мировой экономики,1
1996,рост мощностии,1
1997,рост ндс,-1
1998,рост объёма,1
1999,рост объёма выбросов,-2
2000,рост объёма продаж,1
2001,рост производительности труда,1
2002,рост равноправия,2
2003,рост цены,1
2004,рост цены нефти,1
2005,рост эффективности,1
2006,ростовщичество,-1
2007,рублёвый ,0
2008,руководитель,0
2009,руководство,0
2010,руководящий работник,0
2011,рынок,0
2012,рынок инвестиций,0
2013,рынок инноваций,0
2014,рынок открылся со снижением,-1
2015,рынок сбыта,0
2016,рынок услуг,0
2017,рынок ценных бумаг,0
2018,рынок электроэнергии,0
2019,рыночная стоимость,0
2020,рыночный ,0
2021,рыночный спрос,0
2022,рэкет,-2
2023,саботаж,-2
2024,сайт,0
2025,сальдо ,0
2026,самореализация,1
2027,самый высокий,2
2028,самый медленный,-2
2029,самый сильный,2
2030,санкционированный,1
2031,санкция,-2
2032,сбор налога,0
2033,сбросы,-1
2034,свержение,-2
2035,свершение,1
2036,свидетельствовать,-1
2037,свободный денежный поток,0
2038,своевременно,1
2039,своевременный,1
2040,своп ,0
2041,связываться,0
2042,связь,0
2043,сглаживать,1
2044,сговариваться,-1
2045,сговор,-2
2046,сделка,0
2047,сделка по отчуждению,-1
2048,сделка по приобретению,1
2049,сделка репо,0
2050,сдержанный,1
2051,сдерживание,-1
2052,сдерживать,-1
2053,сдерживающая политика,-1
2054,сдерживающий фактор,-1
2055,сегмент,0
2056,сегмент рынка,0
2057,секретность,-1
2058,сектор,0
2059,сектор экономики,0
2060,сельское хозяйство,0
2061,сервис,0
2062,серия купонной облигации,0
2063,серия облигации,0
2064,серьёзно,0
2065,серьёзность,0
2066,сетевой ритейл,0
2067,сеть,0
2068,сила,0
2069,сильная сторона,1
2070,сильно,0
2071,сильный,0
2072,система внутреннего контроля,0
2073,система отношений,0
2074,система управления,0
2075,система экологического менеджмента,1
2076,скандал,-1
2077,скандальный,-1
2078,склад,0
2079,скорость,0
2080,скрывать,-1
2081,скрытый,-1
2082,слабеть,-1
2083,слабо,-1
2084,слабый,-1
2085,сложно,-1
2086,сломанный,-1
2087,служба внутреннего аудита,0
2088,слух,-1
2089,случай,0
2090,смартфон,0
2091,смещать,-1
2092,смутно,-1
2093,смысл,0
2094,смягчать,1
2095,снижать,-1
2096,снижать ,1
2097,снижать расход топлива,1
2098,снижение,-1
2099,снижение выбросов,1
2100,снижение мощности,-1
2101,снижение объема,-1
2102,снижение эффективности,-1
2103,снос,-2
2104,сносить,-2
2105,соблюдать,1
2106,соблюдать принципы,1
2107,соблюдать требования,1
2108,соблюдаться частично,-1
2109,соблюдение,1
2110,соблюдение ,1
2111,соблюдение корпоративных принципов,1
2112,соблюдение принципов,1
2113,собрание,0
2114,собрание акционеров,0
2115,собранный,1
2116,собственный капитал,0
2117,совершать,0
2118,совершение,0
2119,совершение действия,1
2120,совершенная конкуренция,2
2121,совершенный,2
2122,совершенство,2
2123,совершенствование,2
2124,совершенствование предприятий,2
2125,совершенствование системы,2
2126,совершенствовать,2
2127,совет,0
2128,совет директоров,0
2129,совет директоров одобрил,1
2130,советовать,0
2131,совещание,0
2132,совместимость,1
2133,совместимый,1
2134,совокупность,0
2135,совокупность стран,0
2136,совокупный,0
2137,совокупный доход,0
2138,совокупный спрос,0
2139,совпадать,1
2140,современный,1
2141,согласие,1
2142,согласие,1
2143,согласный,1
2144,соглашаться,1
2145,соглашение,0
2146,создавать,0
2147,создавать ,1
2148,создание,1
2149,создание альянса,1
2150,создание нового,1
2151,создание рабочих мест,1
2152,сознательно,0
2153,сокращать,-1
2154,сокращение,-1
2155,сокращение отходов производства,1
2156,сокращение персонала,-1
2157,солнечные батареи,1
2158,сомневаться,-1
2159,сомнение,-1
2160,сомнительно,-1
2161,сообщество,0
2162,соответствие,1
2163,соответствие требованию,1
2164,соответствовать,1
2165,соперничество фирм,0
2166,состав совета директоров,0
2167,составлять отчётность,0
2168,состояние,0
2169,состоятельный,1
2170,состояться,1
2171,сотрудник,0
2172,сотрудничать,1
2173,сотрудничество,1
2174,сохранение биоразнообразия,1
2175,сохранение здоровья,1
2176,социальная группа,1
2177,социальная инициатива,1
2178,социальная ответственность,0
2179,социальная политика,0
2180,социальная среда,0
2181,социальная стратегия,1
2182,социальная сфера,0
2183,социально-экономическое развитие,1
2184,социальное пособие,0
2185,социальный,0
2186,социальный инвестиции,1
2187,союз,1
2188,спад,-2
2189,спад объёма продаж,-1
2190,спам,-2
2191,спамер,-2
2192,спекулировать,-1
2193,спекуляция,-1
2194,специализация,0
2195,специализация на производстве,0
2196,спецпредложение,1
2197,списание,-1
2198,спонсортсво,1
2199,спор,-1
2200,спорить,-1
2201,спорт,1
2202,способность,1
2203,способный,1
2204,способствовать,1
2205,справедливая стоимость,0
2206,справедливо,1
2207,справедливость,1
2208,справедливый,1
2209,спред,0
2210,спрос,0
2211,средневзвешенная процентная ставка,0
2212,средневзвешенная ставка,0
2213,среднее предпринимательство,0
2214,средний бизнес,0
2215,срок действия договора,0
2216,срок зачисления,0
2217,срок исполнения обязательств,0
2218,срок поставки,0
2219,срочность,0
2220,срочный ,0
2221,срочный рынок,0
2222,срывать,-1
2223,ссуда,0
2224,ссудный ,0
2225,стабилизация,1
2226,стабилизированный,1
2227,стабилизировать,1
2228,стабильность,1
2229,стабильный,1
2230,ставка ,0
2231,ставка налога,0
2232,ставка процента,0
2233,стагнация,-1
2234,стагнировать,-1
2235,стажировка,0
2236,стажёр,0
2237,стакан заявок,0
2238,стандартизированный ,0
2239,стандартный,1
2240,стандарты финансовой отчётности,0
2241,становиться первым,1
2242,становиться победителем,2
2243,стараться,1
2244,стартап,0
2245,стартовый капитал,0
2246,стеклянный потолок,-2
2247,степень загруженности оборудования,0
2248,стимул торговли,0
2249,стимулирование экономики,1
2250,стимулировать,1
2251,стимулирующая политика,1
2252,стоимость,0
2253,стоимость актива,0
2254,стоимость акции,0
2255,стоимость реализации,0
2256,стойкий,1
2257,столкновение,-1
2258,сторона,0
2259,сторонний банк,0
2260,стороны пришли к соглашению,1
2261,сточные воды,-1
2262,страдание,-2
2263,страдать,-2
2264,страна,0
2265,страны мира,0
2266,стратегическая цель,1
2267,стратегический,0
2268,стратегический отчет,0
2269,стратегическое направление,1
2270,стратегическое планирование,0
2271,стратегия,0
2272,стратегия развития,1
2273,стратегия устойчивого бизнеса ,1
2274,страх,-1
2275,страхование,0
2276,страховой ,0
2277,страховщик,0
2278,стремительно,0
2279,стресс ,-1
2280,строгость,0
2281,строительство,0
2282,строительство железнй дороги,0
2283,строительство объекта,0
2284,субсидировать,1
2285,субсидировать ипотечное кредитование,1
2286,субсидировать ипотечный кредит,1
2287,субсидия,1
2288,субсидия федерального бюджета,1
2289,субъект ,0
2290,субъект власти,0
2291,суд,-1
2292,судебное преследование,-1
2293,судебное разбирательство,-1
2294,судебное решение,-1
2295,судебные органы,-1
2296,судебные процессы,-1
2297,судебные разбирательства,-1
2298,судебный запрет,-1
2299,судебный процесс,-1
2300,судиться,-1
2301,суждение,0
2302,сумма активов,0
2303,сумма вознаграждения,0
2304,сумма расходов,0
2305,сумма сделки,0
2306,суровость,-1
2307,существенная информация,0
2308,существенное влияние,1
2309,существенное снижение,-2
2310,существенное условие сделки,0
2311,существенный рост,2
2312,сфера интеллектуальной собственности,0
2313,сфера туризма,0
2314,счёт,0
2315,сырьевой,0
2316,сырьё,0
2317,тайный сговор,-1
2318,таможенный,0
2319,тариф,0
2320,творчество,1
2321,текущая рыночная стоимость,0
2322,текущий ,0
2323,текущий налог на прибыль,0
2324,темп,0
2325,темп роста,0
2326,темп роста добычи,0
2327,темп роста цен,0
2328,тенденция ,0
2329,тепловая энергия,0
2330,терпеть,-1
2331,терпеть поражение,-2
2332,территориальный ,0
2333,территория,0
2334,территория присутствия,0
2335,терроризм ,-2
2336,терять,-1
2337,технический,0
2338,технический осмотр,0
2339,техническое перевооружение,0
2340,технологическая компания,1
2341,технологическая мощность,0
2342,технологический,1
2343,технологический гигант,0
2344,технологическое оборудование,1
2345,технологическое присоединение,0
2346,технология,1
2347,технология очистки,1
2348,технология производства,0
2349,товар,0
2350,товарная масса,0
2351,товарно-денежные отношения,0
2352,товарный знак,0
2353,товарооборот,0
2354,топливо,0
2355,торги,0
2356,торги на срочном рынке,0
2357,торги ценных бумаг,0
2358,торговая война,-2
2359,торговая марка,0
2360,торговая наценка,0
2361,торговая площадь,0
2362,торговец,0
2363,торговля,0
2364,торгово-экономическое сотрудничество,1
2365,торговый,0
2366,торговый баланс,0
2367,торговый зал,0
2368,торговый морской порт ,0
2369,торговый центр,0
2370,торжественное заявление,1
2371,тормозить,-1
2372,точка зрения,0
2373,точно,1
2374,точность,1
2375,точный,1
2376,травма,-1
2377,трагедия,-2
2378,трансформация,1
2379,трансформация делового климата,1
2380,требование,0
2381,требовать,-1
2382,трейдинг,0
2383,тренд рынка,0
2384,третейский группа,0
2385,труд,0
2386,трудность,-1
2387,трудовой договор,0
2388,трудоёмкий,1
2389,тупик,-1
2390,турбулентность,-1
2391,тщательно исследовать,1
2392,тягота,-1
2393,тяжба,-1
2394,тяжущиеся стороны,-1
2395,убедительный,1
2396,убеждение,0
2397,убыток ,-2
2398,увеличение,1
2399,увеличение задолженности,-1
2400,увеличение затрат,-1
2401,увеличение налога,-1
2402,увеличение объёма,1
2403,увеличение процентной ставки,-1
2404,увеличение ставки,-1
2405,увеличивать,1
2406,увеличивать расход топлива ,-1
2407,увеличились темпы роста,1
2408,увеличились темпы роста цен,-1
2409,уверенно,1
2410,уверенный,1
2411,увольнение,-1
2412,увольнять,-1
2413,угнетать,-1
2414,уголовное преступление,-2
2415,уголовный,-2
2416,угрожать,-2
2417,угроза,-2
2418,удавшийся,1
2419,удача,1
2420,удачно,1
2421,удачный,1
2422,удерживать,0
2423,удержимый,1
2424,удобный,1
2425,удобство,1
2426,удовлетворение потребностей,0
2427,удовлетворительно,-1
2428,удовлетворительный,-1
2429,удовлетворённость,1
2430,удовлетворённый,1
2431,ужесточение,-2
2432,узурпация,-2
2433,узурпировать,-2
2434,уйти в минус,-1
2435,указание ,0
2436,уклонение,-1
2437,украденный,-1
2438,укрепление,2
2439,укрепление индекса,1
2440,улучшать,1
2441,улучшение,1
2442,ультрафиолетовое обеззараживание воды,1
2443,умаление,-1
2444,умалять,-2
2445,уменьшать,-1
2446,уменьшение,-1
2447,уменьшение неравенства,1
2448,уменьшились темпы роста,-1
2449,уместно,1
2450,уместный,1
2451,университет,0
2452,уничтожать,-2
2453,уныло,-1
2454,упадок,-2
2455,уполномоченный ,0
2456,уполномочивать,0
2457,упорство,0
2458,управление,0
2459,управление отходами,1
2460,управление персоналом,0
2461,управление рисками,0
2462,управляющий ,0
2463,упразднять,-1
2464,упреждение,0
2465,упускать из виду,-1
2466,упущение,-1
2467,уровень безработицы,0
2468,уровень развития,0
2469,уровень развития сферы,0
2470,усиление,1
2471,усиление специализации,0
2472,усиливать,1
2473,условие договора ,0
2474,условие поставки,0
2475,условие продажи,0
2476,условие сделки,0
2477,условие спроса,0
2478,условие труда,0
2479,условное депонирование,0
2480,усложнение,-1
2481,усложнять,-1
2482,услуга,0
2483,услуги технической поддержки,1
2484,усовершенствование,1
2485,усовершенствовать,1
2486,успех,1
2487,успешно,1
2488,уставной ,0
2489,уставной капитал,0
2490,уставный ,0
2491,установленная мощность,0
2492,установленный,1
2493,устаревание,-1
2494,устойчивое развитие,1
2495,устойчивость,1
2496,устойчивость ,1
2497,устойчивый,1
2498,устойчивый спрос,1
2499,устранять,0
2500,устранять проблему,1
2501,устрашение,-1
2502,устройство,0
2503,уступать,-1
2504,усугублять,-1
2505,утверждать,0
2506,утверждение,0
2507,утечка золота,-1
2508,утешительно,1
2509,утилизация выбросов,1
2510,утилизация отходов,1
2511,утрата,-1
2512,уход,-1
2513,уход в отставку,-1
2514,уходить в отставку,-1
2515,ухудшать,-1
2516,ухудшение,-1
